pet_id,color,sex,age,size,hair_length,special_needs_p,purebred_p,shots_current_p,housetrained_p,declawed_p,good_with_kids_p,good_with_dogs_p,good_with_cats_p,spayed_neutered_p
370923,Merle,f,adult,Large 61-100 lbs (28-45 kg),,f,f,f,f,,,,,f
555110,Black - with White,m,senior,Large 61-100 lbs (28-45 kg),,t,f,t,t,,f,f,f,t
667428,Black - with White,m,senior,Large 61-100 lbs (28-45 kg),short,f,f,t,,,,,f,t
676544,Red/Golden/Orange/Chestnut,m,senior,Large 61-100 lbs (28-45 kg),,t,f,t,t,,f,t,t,t
703051,Red/Golden/Orange/Chestnut,m,senior,Large 61-100 lbs (28-45 kg),short,f,f,t,t,,t,t,t,t
785742,"Black - with Tan, Yellow or Fawn",m,senior,Large 61-100 lbs (28-45 kg),,f,f,t,t,f,t,t,t,t
819379,Tan/Yellow/Fawn - with Black,m,senior,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,t,t,,t
832641,Tan/Yellow/Fawn,m,senior,Large 61-100 lbs (28-45 kg),,f,f,t,t,,f,,,t
895505,"White - with Tan, Yellow or Fawn",f,senior,Small 25 lbs (11 kg) or less,,f,f,t,t,,f,,,t
920474,,,,,,f,t,,,,,,,
983196,Red/Golden/Orange/Chestnut - with Black,f,senior,Med. 26-60 lbs (12-27 kg),short,f,f,t,t,,t,t,,t
1141405,Brindle,m,senior,Large 61-100 lbs (28-45 kg),,f,f,t,f,,,,,t
1163605,Red/Golden/Orange/Chestnut,m,senior,Med. 26-60 lbs (12-27 kg),,t,f,t,t,,t,t,f,t
1177765,Brindle - with White,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,,,t,t,,t
1208105,Tan/Yellow/Fawn,f,adult,Med. 26-60 lbs (12-27 kg),short,f,f,,,,t,t,,t
1208652,Tan/Yellow/Fawn,f,adult,Med. 26-60 lbs (12-27 kg),short,,,,,f,,t,,t
1496009,Brown/Chocolate - with White,m,young,Med. 26-60 lbs (12-27 kg),,t,f,t,f,,t,,,t
1727080,Brindle - with White,m,senior,Large 61-100 lbs (28-45 kg),,f,f,t,t,,,,,t
1727263,"White - with Red, Golden, Orange or Chestnut",m,senior,Large 61-100 lbs (28-45 kg),,f,f,t,t,,,,,t
1896745,Tan/Yellow/Fawn,f,adult,Small 25 lbs (11 kg) or less,short,f,t,t,t,,t,t,t,t
2076022,Black - with White,f,senior,Med. 26-60 lbs (12-27 kg),,t,f,t,t,,f,f,f,t
2117263,,m,senior,Med. 26-60 lbs (12-27 kg),medium,f,f,t,f,,t,t,t,t
2123566,White,m,young,X-Large 101 lbs (46 kg) or more,,f,t,t,t,,,,,t
2184507,Brindle - with White,m,adult,Large 61-100 lbs (28-45 kg),,f,t,f,f,,,,,f
2428596,Brindle,f,senior,Med. 26-60 lbs (12-27 kg),,t,f,t,t,,,t,f,t
2523138,Brindle,m,adult,Small 25 lbs (11 kg) or less,,f,f,t,t,,t,t,t,t
2589073,Black - with White,f,senior,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,t,t,,t
2682997,Brindle,m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,f,t,t,t
2710042,Black,m,puppy,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,t,t,t,f
2793404,Brown/Chocolate - with White,m,young,Small 25 lbs (11 kg) or less,,f,f,t,f,,,,,t
2823978,Black,m,senior,Large 61-100 lbs (28-45 kg),,f,f,t,t,,t,f,f,t
3004889,White,f,adult,Med. 26-60 lbs (12-27 kg),,t,t,t,,,,,,
3054876,Black - with White,m,senior,Small 25 lbs (11 kg) or less,,t,f,t,t,,f,f,f,t
3067743,Tricolor (Tan/Brown & Black & White),,,,,f,f,t,,,,,,t
3079245,,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,,,,t
3079252,,m,adult,Large 61-100 lbs (28-45 kg),,f,f,t,,,,,,t
3079253,,m,young,Large 61-100 lbs (28-45 kg),,f,f,t,,,,,,t
3079261,,f,young,Large 61-100 lbs (28-45 kg),,f,f,t,,,,,,t
3079264,,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,,,,t
3079268,,m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,,,,t
3193799,,m,,Med. 26-60 lbs (12-27 kg),,f,t,t,t,,t,t,t,t
3225934,Tan/Yellow/Fawn - with White,m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,t,t,t,t
3225952,Red/Golden/Orange/Chestnut - with Black,m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,t,t,t,t
3226041,White - with Brown or Chocolate,f,adult,Med. 26-60 lbs (12-27 kg),,f,t,t,f,,t,t,f,t
3381546,Brindle - with White,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,t,t,,t
3562347,Tricolor (Tan/Brown & Black & White),f,senior,Med. 26-60 lbs (12-27 kg),,f,t,t,t,,,t,,t
3614415,Black - with White,m,adult,,,f,f,t,,,t,t,t,t
3771219,White,m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,f,f,f,t,,t
3883163,Black,m,young,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,f,t,t,t
3927299,White,m,puppy,Small 25 lbs (11 kg) or less,,f,t,f,f,,,,,f
4130525,Black - with White,m,young,Small 25 lbs (11 kg) or less,,f,f,t,t,,,,,t
4295606,Brindle - with White,f,young,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,t,t,,t
4368374,Brown/Chocolate,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,,,,,f,t
4582585,White,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,,,,t
4587553,Tricolor (Tan/Brown & Black & White),f,senior,Small 25 lbs (11 kg) or less,,f,t,t,t,,t,t,,t
4623743,Black - with White,f,adult,Large 61-100 lbs (28-45 kg),,f,f,t,t,,,,,t
4728534,"Black - with Brown, Red, Golden, Orange or Chestnut",m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,t,t,,t
4835621,"White - with Red, Golden, Orange or Chestnut",m,senior,Med. 26-60 lbs (12-27 kg),,t,f,t,t,,f,f,f,t
4871194,Tricolor (Tan/Brown & Black & White),m,young,Small 25 lbs (11 kg) or less,,f,f,t,t,,,,,t
4926356,Tan/Yellow/Fawn,m,adult,Large 61-100 lbs (28-45 kg),,f,f,t,f,,f,,,t
5003305,"White - with Tan, Yellow or Fawn",f,adult,Large 61-100 lbs (28-45 kg),,f,f,t,t,,t,f,f,t
5068809,Tan/Yellow/Fawn,m,adult,Med. 26-60 lbs (12-27 kg),,f,t,t,f,,,f,,t
5072315,,f,young,Med. 26-60 lbs (12-27 kg),,f,f,t,,,t,,,t
5073282,,f,young,Small 25 lbs (11 kg) or less,,f,f,,,,f,,,
5111794,"Black - with Tan, Yellow or Fawn",f,adult,Large 61-100 lbs (28-45 kg),,f,f,t,f,,f,f,f,t
5147766,"White - with Tan, Yellow or Fawn",m,adult,Small 25 lbs (11 kg) or less,,f,f,t,t,,t,t,,t
5152371,Brown/Chocolate - with White,m,young,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,t,t,t,t
